"unit","age","ord_brth","geo","time","values","perc","countryname","region"
"NR",45,"1","BG",2018,41,0.1,"Bulgaria","Eastern Europe"
"NR",45,"1","CZ",2018,35,0.1,"Czechia","Eastern Europe"
"NR",45,"1","EE",2018,3,0.1,"Estonia","Eastern Europe"
"NR",45,"1","EL",2018,120,0.3,"Greece","Southern Europe"
"NR",45,"1","ES",2018,654,0.4,"Spain","Southern Europe"
"NR",45,"1","HU",2018,18,0,"Hungary","Eastern Europe"
"NR",45,"1","NL",2018,44,0.1,"Netherlands","Western Europe"
"NR",45,"1","PL",2018,47,0,"Poland","Eastern Europe"
"NR",45,"1","PT",2018,72,0.2,"Portugal","Southern Europe"
"NR",45,"1","RO",2018,46,0,"Roumania","Eastern Europe"
"NR",46,"1","AT",2018,29,0.1,"Austria","Western Europe"
"NR",46,"1","BE",2018,24,0,"Belgium","Western Europe"
"NR",46,"1","BG",2018,21,0.1,"Bulgaria","Eastern Europe"
"NR",46,"1","CZ",2018,21,0,"Czechia","Eastern Europe"
"NR",46,"1","EE",2018,6,0.1,"Estonia","Eastern Europe"
"NR",46,"1","EL",2018,97,0.2,"Greece","Southern Europe"
"NR",46,"1","ES",2018,398,0.2,"Spain","Southern Europe"
"NR",46,"1","HU",2018,9,0,"Hungary","Eastern Europe"
"NR",46,"1","NL",2018,29,0,"Netherlands","Western Europe"
"NR",46,"1","PL",2018,22,0,"Poland","Eastern Europe"
"NR",46,"1","PT",2018,48,0.1,"Portugal","Southern Europe"
"NR",46,"1","RO",2018,34,0,"Roumania","Eastern Europe"
"NR",47,"1","AT",2018,15,0,"Austria","Western Europe"
"NR",47,"1","BE",2018,13,0,"Belgium","Western Europe"
"NR",47,"1","BG",2018,24,0.1,"Bulgaria","Eastern Europe"
"NR",47,"1","CZ",2018,7,0,"Czechia","Eastern Europe"
"NR",47,"1","EE",2018,0,0,"Estonia","Eastern Europe"
"NR",47,"1","EL",2018,67,0.2,"Greece","Southern Europe"
"NR",47,"1","ES",2018,242,0.1,"Spain","Southern Europe"
"NR",47,"1","HU",2018,12,0,"Hungary","Eastern Europe"
"NR",47,"1","NL",2018,23,0,"Netherlands","Western Europe"
"NR",47,"1","PL",2018,13,0,"Poland","Eastern Europe"
"NR",47,"1","PT",2018,19,0,"Portugal","Southern Europe"
"NR",47,"1","RO",2018,20,0,"Roumania","Eastern Europe"
"NR",48,"1","AT",2018,14,0,"Austria","Western Europe"
"NR",48,"1","BE",2018,15,0,"Belgium","Western Europe"
"NR",48,"1","BG",2018,12,0,"Bulgaria","Eastern Europe"
"NR",48,"1","CZ",2018,3,0,"Czechia","Eastern Europe"
